ChemicalID,DiseaseID,label
D010837,MESH:D053040,1
D000077276,MESH:D058186,1
C569670,MESH:D019283,0
C014926,MESH:D011654,0
C007975,MESH:D009127,0
D013935,MESH:D002547,0
D014331,MESH:D006965,1
C025910,MESH:C564133,0
C434926,MESH:D058186,1
D008558,MESH:D012512,1
C031233,MESH:D019586,0
C058306,MESH:D013163,0
C090069,MESH:D001424,1
D005438,MESH:D007022,1
D000897,MESH:D010018,0
D010936,MESH:D007172,1
C480521,MESH:D006486,0
C010247,MESH:D020323,0
D018120,MESH:D006417,1
D008621,MESH:D012771,1
D013467,MESH:D005094,1
D005947,MESH:D000307,1
D011725,MESH:D006948,0
C007836,MESH:D012878,1
D008130,MESH:D014777,0
D002257,MESH:D016893,0
C443755,MESH:D010488,0
C090577,MESH:D006330,0
D011342,MESH:D014927,1
D000077285,MESH:D019966,1
D012312,MESH:D017202,1
D019821,MESH:D005355,1
C006149,MESH:D001763,1
C088233,MESH:D000067877,0
C084711,MESH:D003865,1
C506643,MESH:D009182,1
D009525,MESH:D050171,1
D000894,MESH:D009062,1
C054634,MESH:D001039,0
C451734,MESH:D014247,0
D013792,MESH:D011471,1
C095476,MESH:D001249,1
D000863,MESH:D004941,1
D024502,MESH:D007511,1
D016685,MESH:D004938,1
C052565,MESH:D020766,0
C075156,MESH:D014605,0
C513118,MESH:D003117,0
C039128,MESH:D012598,0
C091365,MESH:D012004,0
C560811,MESH:D020163,0
D018927,MESH:D001249,1
C549106,MESH:D010259,0
D008148,MESH:D005234,1
C072379,MESH:D005911,1
D002955,MESH:D008175,1
C003466,MESH:D002294,1
C003330,MESH:D014549,1
C108286,MESH:D015423,0
C005222,MESH:D018805,0
D008687,MESH:D006529,1
D009270,MESH:D012131,1
C095756,MESH:D011164,0
D009543,MESH:D011507,1
D002599,MESH:D009361,1
D028321,MESH:D019446,1
C462182,MESH:D054144,0
C530485,MESH:D004827,1
D009543,MESH:D002311,1
D010656,MESH:D014693,1
C119422,MESH:D006967,1
D000077154,MESH:D002546,1
D008920,MESH:D009369,1
D000666,MESH:D007896,1
D008712,MESH:D055756,0
C011145,MESH:D020234,0
D005473,MESH:D020925,1
C024352,MESH:D015470,1
D002738,MESH:D009361,1
D000838,MESH:D008924,0
D016651,MESH:D004893,0
D000077547,MESH:D015427,0
D008775,MESH:C537968,0
D058831,MESH:D009084,0
C498045,MESH:D011248,0
D004176,MESH:D002546,1
C033607,MESH:D007249,1
D008614,MESH:D048949,1
D001241,MESH:D013610,1
C034786,MESH:D000544,1
D001514,MESH:D009503,1
D004999,MESH:D000309,0
D011736,MESH:D000756,1
C410216,MESH:D000138,0
D003022,MESH:D003110,1
D004656,MESH:D013375,1
D004837,MESH:D007431,1
D000086,MESH:D006259,1
C440850,MESH:D002310,0
D015378,MESH:D000754,0
D000667,MESH:D009375,0
C017967,MESH:D041781,0
C106812,MESH:D016111,0
C530779,MESH:D001855,1
D001285,MESH:C563984,1
C504960,MESH:D011618,0
C120642,MESH:D010033,0
C540311,MESH:D006965,1
D011794,MESH:D029424,1
D010110,MESH:D003130,0
D009388,MESH:D016055,1
D004026,MESH:D008579,0
D003367,MESH:D014005,0
D014801,MESH:D008103,1
D000068581,MESH:D016609,0
D016190,MESH:D008527,1
C429014,MESH:D009845,1
D006918,MESH:D011471,1
C054527,MESH:D007057,0
D015016,MESH:D002375,1
D018377,MESH:D001850,0
C094099,MESH:D016543,0
D015080,MESH:D018241,1
D000077405,MESH:D013375,1
C085415,MESH:D011595,0
D010423,MESH:D001168,1
C477931,MESH:D016574,0
D009020,MESH:D017116,1
D002220,MESH:D019569,1
C587539,MESH:D065626,1
C075975,MESH:D007896,1
C089987,MESH:D010383,0
C503211,MESH:D048949,0
C099158,MESH:D007680,0
C545581,MESH:D001437,0
D002945,MESH:D006423,0
D002857,MESH:D008569,1
C098468,MESH:D008664,1
D005231,MESH:D013276,1
D014810,MESH:D007680,1
D013654,MESH:D015431,1
C024894,MESH:D012478,0
C107820,MESH:D006463,0
C433928,MESH:D013616,0
D006220,MESH:D014839,1
D008795,MESH:D056486,1
D002981,MESH:D016778,1
D009661,MESH:D019964,1
C032688,MESH:D056486,1
C519845,MESH:D053627,0
D015056,MESH:D013280,0
D009288,MESH:D010149,1
D010640,MESH:D011537,0
C052548,MESH:D009765,0
D020867,MESH:D010412,0
D000077191,MESH:D018324,0
D002220,MESH:D001925,1
C090411,MESH:D001289,1
C481822,MESH:C535650,0
C574037,MESH:D020195,0
C015209,MESH:D054220,0
D004112,MESH:D014854,0
C077369,MESH:D006229,0
C108217,MESH:D006941,0
C109078,MESH:D004830,0
C084956,MESH:D001650,0
C000623387,MESH:D008831,0
D019287,MESH:D056486,1
D009530,MESH:D058387,0
C045251,MESH:D014777,0
C506907,MESH:D007589,0
C118983,MESH:D010292,0
C452139,MESH:D009361,1
C532162,MESH:D001607,0
D005479,MESH:D007319,1
C004999,MESH:D018149,1
D015122,MESH:D011471,0
D011188,MESH:D007674,1
D003915,MESH:D006930,1
D011224,MESH:D053448,1
D018377,MESH:D004831,0
D011899,MESH:D001008,1
D002697,MESH:D007251,0
D012293,MESH:D014385,1
D020849,MESH:D000230,1
C043482,MESH:D018149,1
D008464,MESH:D014202,1
C054974,MESH:D056735,0
D010393,MESH:D013625,0
C078923,MESH:D041781,0
